id,title,phaseId,dateCreated,technique,dimensions,colorPalette,emotionalRegister,imageUrl,imageKey,thumbnailUrl,journalExcerpt,neonReading,seriesName,isPublished,sortOrder,createdAt,updatedAt,featured,slug,medium,year,curatorialHook,conceptTags
30011,Thr3e (standing Bruise),30009,2025-08-26,Sumi ink on Chinese mulberry paper,100cm x 100cm,"Black, Gray, Tar-like matte monolith mass with central bruise-light wound",gravitas,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/thr3e/THR3E.jpg,works/thr3e/THR3E.jpg,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/thr3e/THR3E.jpg,"This painting is the Anchor of the 2025 series. While the rectangular works (100cm × 200cm) are the Explorations, this square work is the Definition. It proves that the New Era is not just about size or movement, but about density and presence.","The square format is a trap. Where the rectangular Big Bang works allow energy to bleed outward along the longer axis, this format reflects force back into the interior, building internal pressure until the image becomes a sealed vessel. Thr3e compresses eruptive field-logic into crucible-logic. The bruise-light at center is not transcendent: it is persistent, the survival of consciousness within overwhelming shadow. This is the moment the practice shifts from meteorology (storms that pass) to geology (bedrock that persists). The Anchor specimen. The Definition.",Thr3e,1,12,Sat Dec 27 2025 06:06:01 GMT-0500 (Eastern Standard Time),Mon Feb 23 2026 19:19:17 GMT-0500 (Eastern Standard Time),1,thr3e-standing-bruise-30011,Sumi ink on Chinese mulberry paper,2025,"The definitive specimen of the New Era, compressing the eruptive Big Bang field into a square pressure vessel to document the survival of consciousness under pressure.","Ink,Paper"
30012,Covenant I: Storm-body,30009,2025-09-21,Sumi ink on Chinese mulberry paper,100cm x 200cm,"Black, Gray, Horizontal turbulence",solemn aftermath,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/covenant/COVTryptic2.jpg,works/covenant/COVTryptic2.jpg,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/covenant/COVTryptic2.jpg,Panel I: Collapse and turbulence. The monolithic presence has shattered into horizontal chaos. This is the storm-body that must be organized.,"Panel I. The first stage of the law: acknowledging chaos. Horizontal flows without coherence, lower masses weighted and collapsed. The monolithic presence has shattered into turbulence. This is the shadow before it becomes architecture, the raw material of disorder that the subsequent panels will organize. Not failure. Inventory.",Covenant,1,13,Sat Dec 27 2025 06:22:52 GMT-0500 (Eastern Standard Time),Tue Feb 24 2026 08:15:02 GMT-0500 (Eastern Standard Time),1,covenant-i-storm-body-30012,Sumi ink on Chinese mulberry paper,2025,The first stage of the law: a visual acknowledgment of horizontal chaos and collapsed masses before they are organized into ritual architecture.,"Ink,Paper"
30013,Covenant II: Vessel-body,30009,2025-09-21,Sumi ink on Chinese mulberry paper,100cm x 200cm,"Black, Gray, Rib-like voids",solemn aftermath,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/covenant/COVTryptic3.jpg,works/covenant/COVTryptic3.jpg,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/covenant/COVTryptic3.jpg,Panel II: Structure. Organizes around a vertical axis with rib-like void chambers. Pressure energy holds what the storm scattered.,"Panel II. The second stage: containment. A vertical axis appears where Storm-body had none, organizing the chaos into load-bearing structure with rib-like void chambers. Pressure energy holds what the storm scattered. This is the crucible at work, weight becoming architecture, disorder becoming vessel. The transition from entropy to order is not gradual. It is structural. Something clicked into place.",Covenant,1,14,Sat Dec 27 2025 06:22:57 GMT-0500 (Eastern Standard Time),Wed Feb 25 2026 01:08:40 GMT-0500 (Eastern Standard Time),1,covenant-ii-vessel-body-30013,Sumi ink on Chinese mulberry paper,2025,"The appearance of a vertical axis organizes chaos into a load-bearing structure, literalizing the transition from weight to architectural containment.","Ink,Paper"
30014,Covenant III: Threshold-body,30009,2025-09-21,Sumi ink on Chinese mulberry paper,100cm x 200cm,"Black, Gray, Opening luminosity",solemn aftermath,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/covenant/COVTryptic1.jpg,works/covenant/COVTryptic1.jpg,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/covenant/COVTryptic1.jpg,Panel III: Emergence. Upward trajectories and a clear threshold. Release energy lifts and opens the void as a luminous portal.,"Panel III. The third stage: release. Marks thin and lift, opening a coherent void. Upward trajectories and a clear threshold. This is negative light: luminosity created through emptiness organized into a gateway. The Covenant is sealed here. Chaos became vessel became door.",Covenant,1,15,Sat Dec 27 2025 06:23:02 GMT-0500 (Eastern Standard Time),Wed Feb 25 2026 01:09:07 GMT-0500 (Eastern Standard Time),0,covenant-iii-threshold-body-30014,Sumi ink on Chinese mulberry paper,2025,"Luminosity is created through emptiness, sealing the covenant by opening the negative space into a coherent portal of release.","Ink,Paper"
30015,Ode to Osiris,30004,2020-08,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,56cm x 76cm,"Black, Copper, Dense knot",reverent resignation,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/equinox/1_ode_to_osiris_peteryuill(1).jpg,works/equinox/1_ode_to_osiris_peteryuill(1).jpg,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/equinox/1_ode_to_osiris_peteryuill(1).jpg,"Osiris: the dying-and-resurrecting god. Sacrifice, judgment, external law. This dense symmetrical knot represents the old aeon—the sacrificial and authoritarian structure that must be transcended. Copper grounds it in the earthly and material.","Acknowledgment of the old order. Osiris: the dying-and-resurrecting god, sacrifice, judgment, external law. This dense symmetrical knot represents the sacrificial and authoritarian structure of the old aeon. Copper grounds it in the earthly and material. The knot is closed, complete, memorial. A specimen of what must be left behind, documented before burning.",Equinox of the Gods,1,1,Sat Dec 27 2025 06:45:40 GMT-0500 (Eastern Standard Time),Thu Feb 12 2026 15:47:14 GMT-0500 (Eastern Standard Time),0,ode-to-osiris-30015,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,2020,"A memoriam of the old aeon's sacrificial and authoritarian structure, grounded in earthly copper to represent the external law that must be transcended.","Ink,Paper"
30016,Ode to Isis,30004,2020-08,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,76cm x 56cm,"Black, Gold, Dense knot",reverent contained grief,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/equinox/2_ode_to_isis_peteryuill(2).jpg,works/equinox/2_ode_to_isis_peteryuill(2).jpg,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/equinox/2_ode_to_isis_peteryuill(2).jpg,"Isis: ancient mother goddess. Magic, wisdom, fertility. The pre-historical matriarchal aeon—instinct, nature, the body. This dense symmetrical knot honors the origin, the feminine-instinctual foundation. Gold illuminates the celestial and sacred.","Acknowledgment of origin. Isis: ancient mother goddess, magic, wisdom, fertility. The pre-historical matriarchal aeon: instinct, nature, the body. This dense symmetrical knot honors the ancestral ground, the feminine-instinctual foundation. Gold illuminates the celestial and sacred. The knot is contained, reverent. Departure requires knowing where you depart from.",Equinox of the Gods,1,2,Sat Dec 27 2025 06:45:42 GMT-0500 (Eastern Standard Time),Thu Feb 12 2026 15:47:14 GMT-0500 (Eastern Standard Time),0,ode-to-isis-30016,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,2020,"An acknowledgment of the instinctual foundation, where a contained gold knot honors the ancient feminine origin from which all transformation departs.","Ink,Paper"
30017,Ode to Hadit,30004,2020-08,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,56cm x 76cm,"Black, Gold, Open vortex with central void",intense coiled potential,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/equinox/3_ode_to_hadit_peteryuill(2).jpg,works/equinox/3_ode_to_hadit_peteryuill(2).jpg,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/equinox/3_ode_to_hadit_peteryuill(2).jpg,"Hadit: the infinitely small point of pure will. The concentrated self, the inner flame. This open vortex spirals toward a central white void—inward-pulling energy, the distillation of the new self. The essential point from which all will emanates.",Distillation to essential will. Hadit: the infinitely small point of pure intention. This open vortex spirals inward toward a central white void. Not expansion but concentration. The new aeon's core is not a god to worship but a point to become. Everything the Equinox series has been building toward contracts here into a singularity. The knowing distilled to a single point.,Equinox of the Gods,1,3,Sat Dec 27 2025 06:45:44 GMT-0500 (Eastern Standard Time),Thu Feb 12 2026 15:47:15 GMT-0500 (Eastern Standard Time),0,ode-to-hadit-30017,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,2020,"A distillation of the individuated will, where an inward-pulling vortex spirals toward a central white void as the inner flame of the new aeon.","Ink,Paper"
30018,Ode to Hoor-pa-kraat,30004,2020-08,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,56cm x 76cm,"Black, Copper, Extremely dense knot",silent restrained power,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/equinox/6_ode_to_hoor_pa_kraat_peteryuill(2).jpg,works/equinox/6_ode_to_hoor_pa_kraat_peteryuill(2).jpg,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/equinox/6_ode_to_hoor_pa_kraat_peteryuill(2).jpg,"Hoor-pa-kraat (Harpocrates): the silent child-god. Self-possession, patience, inner knowing. This extremely dense knot holds immense pressure in perfect containment. Silent power, compressed energy, disciplined restraint—the moment before action.","Silent containment of knowing. Hoor-pa-kraat: the silent child-god, self-possession, patience, inner knowing. This extremely dense knot holds immense pressure in perfect equilibrium. Maximum force with zero release. The moment before action. The coiled spring. The held breath. In the Equinox sequence, this is the specimen of disciplined restraint: power not wielded but held.",Equinox of the Gods,1,4,Sat Dec 27 2025 06:45:50 GMT-0500 (Eastern Standard Time),Thu Feb 12 2026 15:47:15 GMT-0500 (Eastern Standard Time),0,ode-to-hoor-pa-kraat-30018,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,2020,"A study in disciplined restraint, where maximum pressure is held in perfect containment to represent self-knowledge as a silent, patient power.","Ink,Paper"
30019,Ode to Therion,30004,2020-08,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,100cm x 100cm,"Black, Gold, Copper, Fractured vortex",ecstatic volatile rupture,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/equinox/7_ode_to_therion_peteryuill.jpg,works/equinox/7_ode_to_therion_peteryuill.jpg,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/equinox/7_ode_to_therion_peteryuill.jpg,"Therion: The Beast. Crowley's magickal name—the unleashed will, full self-actualization, aeonic rupture. This large fractured vortex explodes outward, containment shattered. Dual gold and copper fuse celestial and terrestrial into volatile unity. This is the climax: all containment breaks, the new self becomes undeniable.","Explosive release and full activation. Therion: the Beast, the unleashed will, aeonic rupture. The largest work in the series detonates where Hoor-pa-kraat held. The fractured vortex explodes outward, containment shattered. Dual gold and copper fuse celestial and terrestrial into volatile unity. This is not peace. This is dangerous becoming. The transformation is irreversible. Every seal broken.",Equinox of the Gods,1,5,Sat Dec 27 2025 06:45:53 GMT-0500 (Eastern Standard Time),Thu Feb 12 2026 15:47:16 GMT-0500 (Eastern Standard Time),0,ode-to-therion-30019,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,2020,"The climax of aeonic rupture, where all containment shatters and dual metals fuse into a volatile unity of irreversible self-actualization.","Ink,Paper"
30020,The Limitless Path of the Intuitive Mind I,30003,2019-2020,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,56cm x 76cm,"Black, Gold, Continuous flow",calm meditative grounded,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/alignment/the_limitless_path_of_the_intuitive_mind_1_peteryuill(1).jpg,works/alignment/the_limitless_path_of_the_intuitive_mind_1_peteryuill(1).jpg,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/alignment/the_limitless_path_of_the_intuitive_mind_1_peteryuill(1).jpg,"A horizontal chain of linked torus forms against a gold circular plane. The voids create an endless corridor—the path forward is infinite, and the intuitive mind navigates through knowing, not logic.","A horizontal chain of linked torus forms against a gold circular plane. The voids create an endless corridor: the path extends infinitely, navigated by knowing rather than logic. Alignment as ongoing practice, not arrival. The gold marks the path as sacred. No destination. Just sustained motion through mystery.",Alignment,1,1,Sat Dec 27 2025 06:54:12 GMT-0500 (Eastern Standard Time),Thu Feb 12 2026 15:47:16 GMT-0500 (Eastern Standard Time),0,the-limitless-path-of-the-intuitive-mind-i-30020,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,2019,"Gold illuminates a continuous horizontal flow of linked torus forms, suggesting consciousness navigating through mystery without the demand for resolution.","Ink,Paper"
30021,The Limitless Path of the Intuitive Mind Ii,30003,2019-2020,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,56cm x 76cm,"Black, Copper, Continuous flow",calm meditative grounded,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/alignment/the_limitless_path_of_the_intuitive_mind_2_peteryuill(1).jpg,works/alignment/the_limitless_path_of_the_intuitive_mind_2_peteryuill(1).jpg,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/alignment/the_limitless_path_of_the_intuitive_mind_2_peteryuill(1).jpg,"Similar horizontal chain, but copper replaces gold. The path is now earthbound, embodied, rooted. Where gold elevated, copper grounds. Both paths are valid—one celestial, one terrestrial.","Grounded twin of the elevated path. Copper replaces gold, pulling the journey from the celestial to the terrestrial. Where gold elevated, copper anchors. The work insists that spiritual practice is not escape from the physical. It is movement through both registers simultaneously. The same path, different frequency.",Alignment,1,2,Sat Dec 27 2025 06:54:14 GMT-0500 (Eastern Standard Time),Thu Feb 12 2026 15:47:17 GMT-0500 (Eastern Standard Time),0,the-limitless-path-of-the-intuitive-mind-ii-30021,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,2019,"The grounded twin of the celestial journey, using copper to anchor spiritual practice within the bodily and material register.","Ink,Paper"
