id,title,phase,dimensions,technique,dateCreated,issues
30032,Vibrational Alignment,PH2,56×76cm vertical,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,2019-2020,"NON_STANDARD_DIMENSIONS: ""56×76cm vertical"""
30033,A Walking Bundle of Frequencies,PH2,56×76cm vertical,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,2019-2020,"NON_STANDARD_DIMENSIONS: ""56×76cm vertical"""
60001,Echoes,PH3,200cm × 200cm (monumental),Acrylic paint on linen,2022,"NON_STANDARD_DIMENSIONS: ""200cm × 200cm (monumental)"""
60004,A Momentary Lapse of Reason,PH3,76cm x 56cm,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,2022,"NON_STANDARD_DIMENSIONS: ""76cm x 56cm"""
60011,Genesis,PH3,76cm x 56cm,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,2022,"NON_STANDARD_DIMENSIONS: ""76cm x 56cm"""
60013,Major Motoko,PH3,56cm x 76cm,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,2022,"NON_STANDARD_DIMENSIONS: ""56cm x 76cm"""
60016,Persistence of Time (2),PH3,21cm x 30cm,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,2022,"NON_STANDARD_DIMENSIONS: ""21cm x 30cm"""
90001,Cross Mandala with Gold Center,PH3A,30cm x 40cm,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,2023-06,"NON_STANDARD_DIMENSIONS: ""30cm x 40cm"""
90002,Horizontal Orbital Mural (Study),PH3A,600×150cm (large-scale mural),Acrylic and ink on wall,2023-06,"NON_STANDARD_DIMENSIONS: ""600×150cm (large-scale mural)"""
90003,Yin-Yang Gold Disc,PH3A,30cm x 40cm,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,2023-06,"NON_STANDARD_DIMENSIONS: ""30cm x 40cm"""
90004,Vertical Cross with Gold Satellites,PH3A,30cm x 40cm,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,2023-06,"NON_STANDARD_DIMENSIONS: ""30cm x 40cm"""
90005,Orbital Installation View,PH3A,600×150cm (installation view),Acrylic and ink on wall,2023-06,"NON_STANDARD_DIMENSIONS: ""600×150cm (installation view)"""
90006,Asymmetric Orbital Cluster,PH3A,30cm x 40cm,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,2023-06,"NON_STANDARD_DIMENSIONS: ""30cm x 40cm"""
90007,Gold Crescent Orbit,PH3A,30cm x 40cm,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,2023-06,"NON_STANDARD_DIMENSIONS: ""30cm x 40cm"""
90008,Vertical Axis with Gold Poles,PH3A,30cm x 40cm,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,2023-06,"NON_STANDARD_DIMENSIONS: ""30cm x 40cm"""
90009,Dense Cross Mandala,PH3A,30cm x 40cm,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,2023-06,"NON_STANDARD_DIMENSIONS: ""30cm x 40cm"""
90010,Spiral Galaxy S-Curve,PH3A,30cm x 40cm,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,2023-06,"NON_STANDARD_DIMENSIONS: ""30cm x 40cm"""
120014,Absurdity of Meaning No. 1,PH1,56 x 76cm,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,2018-03,"NON_STANDARD_DIMENSIONS: ""56 x 76cm"""
120016,Absurdity of Meaning No. 2,PH1,56 x 76cm,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,2018-03,"NON_STANDARD_DIMENSIONS: ""56 x 76cm"""
120021,Absurdity of Meaning No. 3,PH1,56 x 76cm,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,2018-03,"NON_STANDARD_DIMENSIONS: ""56 x 76cm"""
120028,Absurdity of Meaning No. 4,PH1,56 x 76cm,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,2018-03,"NON_STANDARD_DIMENSIONS: ""56 x 76cm"""
120032,Absurdity of Meaning No. 5,PH1,56 x 76cm,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,2018-03,"NON_STANDARD_DIMENSIONS: ""56 x 76cm"""
120033,Absurdity of Meaning No. 6,PH1,56cm x 76cm,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,2018-03,"NON_STANDARD_DIMENSIONS: ""56cm x 76cm"""
120034,Absurdity of Meaning No. 7,PH1,56 x 76cm,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,2018-03,"NON_STANDARD_DIMENSIONS: ""56 x 76cm"""
120035,Absurdity of Meaning No. 8,PH1,56 x 76cm,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,2018-03,"NON_STANDARD_DIMENSIONS: ""56 x 76cm"""
120036,Absurdity of Meaning No. 9,PH1,56 x 76cm,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,2018-03,"NON_STANDARD_DIMENSIONS: ""56 x 76cm"""
120037,Absurdity of Meaning No. 10,PH1,56 x 76cm,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,2018-03,"NON_STANDARD_DIMENSIONS: ""56 x 76cm"""
120038,Absurdity of Meaning No. 11,PH1,76 x 56cm,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,2018-03,"NON_STANDARD_DIMENSIONS: ""76 x 56cm"""
120039,Absurdity of Meaning No. 12,PH1,76 x 56cm,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,2018-03,"NON_STANDARD_DIMENSIONS: ""76 x 56cm"""
120040,Absurdity of Meaning No. 13,PH1,76 x 56cm,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,2018-03,"NON_STANDARD_DIMENSIONS: ""76 x 56cm"""
120041,Geometric Abstraction No. 4,PH1,56cm x 76cm,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,2018,"NON_STANDARD_DIMENSIONS: ""56cm x 76cm"""
120042,Geometric Abstraction No. 5,PH1,56cm x 76cm,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,2018,"NON_STANDARD_DIMENSIONS: ""56cm x 76cm"""
120043,Geometric Abstraction No. 6,PH1,56cm x 76cm,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,2018,"NON_STANDARD_DIMENSIONS: ""56cm x 76cm"""
120044,Geometric Abstraction No. 7,PH1,56cm x 76cm,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,2018,"NON_STANDARD_DIMENSIONS: ""56cm x 76cm"""
120045,Geometric Abstraction No. 8,PH1,56cm x 76cm,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,2018,"NON_STANDARD_DIMENSIONS: ""56cm x 76cm"""
120046,Geometric Abstraction No. 9,PH1,56cm x 76cm,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,2018,"NON_STANDARD_DIMENSIONS: ""56cm x 76cm"""
120047,Geometric Abstraction No. 10,PH1,56cm x 76cm,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,2018,"NON_STANDARD_DIMENSIONS: ""56cm x 76cm"""
120048,Geometric Abstraction No. 11,PH1,56cm x 76cm,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,2018,"NON_STANDARD_DIMENSIONS: ""56cm x 76cm"""
120049,Geometric Abstraction No. 12,PH1,76 x 56cm,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,2018,"NON_STANDARD_DIMENSIONS: ""76 x 56cm"""
120051,Mathematical Meditation No. 1,PH1,76 x 56cm,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,2018,"NON_STANDARD_DIMENSIONS: ""76 x 56cm"""
120053,Mathematical Meditation No. 2,PH1,76 x 56cm,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,2018,"NON_STANDARD_DIMENSIONS: ""76 x 56cm"""
120055,There Lay an Invincible Summer,PH1,120cm x 120cm,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,2018,"NON_STANDARD_DIMENSIONS: ""120cm x 120cm"""
120056,I Wonder If I Really Exist,PH1,120cm x 160cm,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,2018,"NON_STANDARD_DIMENSIONS: ""120cm x 160cm"""
120057,Theatre of Memory,PH1,120cm x 120cm,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,2018,"NON_STANDARD_DIMENSIONS: ""120cm x 120cm"""
150001,Constructivist Composition with Burnt Orange Bar,PH1A,200 x 150cm,Ink and acrylic on canvas,2018-06,"NON_STANDARD_DIMENSIONS: ""200 x 150cm"""
150002,Torus No. 1 (Soho House Commission),PH1A,150 x 100cm,"Ink, gold leaf, and copper leaf on mounted paper",2018-08,"NON_STANDARD_DIMENSIONS: ""150 x 100cm"""
150003,"Torus No. 2 (Soho House Commission, Copper Grounding)",PH1A,150 x 100cm,Ink and copper leaf on mounted paper,2018-09,"NON_STANDARD_DIMENSIONS: ""150 x 100cm"""
150004,Torus No. 3 (Yin-Yang Composition with Gold Plane),PH1A,80 x 80cm,Ink and gold leaf on paper,2018-11,"NON_STANDARD_DIMENSIONS: ""80 x 80cm"""
150005,Torus No. 4 (Dual-Torus Chain with Gold Accent),PH1A,100 x 100cm,Ink and gold leaf on paper,2019-01,"NON_STANDARD_DIMENSIONS: ""100 x 100cm"""
150006,Peninsula Hotels Installation View 1,PH1A,200-300cm per work,"Ink, gold, and copper on mounted paper (large-scale)",2019-03,"NON_STANDARD_DIMENSIONS: ""200-300cm per work"""
150007,Peninsula Hotels Installation View 2,PH1A,200-300cm per work,"Ink, gold, and copper on mounted paper (large-scale)",2019-03,"NON_STANDARD_DIMENSIONS: ""200-300cm per work"""
150008,Peninsula Hotels Installation View 3,PH1A,200-300cm per work,"Ink, gold, and copper on mounted paper (large-scale)",2019-03,"NON_STANDARD_DIMENSIONS: ""200-300cm per work"""
150009,Peninsula Hotels Installation View 4,PH1A,200-300cm per work,"Ink, gold, and copper on mounted paper (large-scale)",2019-03,"NON_STANDARD_DIMENSIONS: ""200-300cm per work"""
150010,Peninsula Hotels Installation View 5,PH1A,200-300cm per work,"Ink, gold, and copper on mounted paper (large-scale)",2019-03,"NON_STANDARD_DIMENSIONS: ""200-300cm per work"""
150011,Kith & Kin Mural Installation 1,PH1A,500 x 300cm (estimated),Acrylic and ink on wall (large-scale mural),2019-04,"NON_STANDARD_DIMENSIONS: ""500 x 300cm (estimated)"""
150012,Kith & Kin Mural Installation 2,PH1A,500 x 300cm (estimated),Acrylic and ink on wall (large-scale mural),2019-04,"NON_STANDARD_DIMENSIONS: ""500 x 300cm (estimated)"""
150013,Kith & Kin Mural Installation 3,PH1A,500 x 300cm (estimated),Acrylic and ink on wall (large-scale mural),2019-04,"NON_STANDARD_DIMENSIONS: ""500 x 300cm (estimated)"""
150014,Kith & Kin Mural Installation 4,PH1A,500 x 300cm (estimated),Acrylic and ink on wall (large-scale mural),2019-04,"NON_STANDARD_DIMENSIONS: ""500 x 300cm (estimated)"""
150015,JLL Corporate Installation,PH1A,200 x 150cm,Ink on mounted paper (large-scale),2019-05,"NON_STANDARD_DIMENSIONS: ""200 x 150cm"""
150016,NUVA Airport Installation,PH1A,200 x 150cm,Ink on mounted paper (large-scale),2019-06,"NON_STANDARD_DIMENSIONS: ""200 x 150cm"""
150017,Airport Restaurant Installation,PH1A,200 x 150cm,Ink on mounted paper (large-scale),2019-06,"NON_STANDARD_DIMENSIONS: ""200 x 150cm"""
150018,Shenzhen Hotel Installation 1,PH1A,200 x 150cm,Ink on mounted paper (large-scale),2019-07,"NON_STANDARD_DIMENSIONS: ""200 x 150cm"""
150019,Shenzhen Hotel Installation 2,PH1A,200 x 150cm,Ink on mounted paper (large-scale),2019-07,"NON_STANDARD_DIMENSIONS: ""200 x 150cm"""
150020,Justin Tan Private Commission,PH1A,100 x 80cm,Ink and gold leaf on paper,2018-12,"NON_STANDARD_DIMENSIONS: ""100 x 80cm"""
180001,Ink Storm (Ascension),PH4,Variable (large format),Sumi ink & wash on paper,2024-05 to 2024-08,"NON_STANDARD_DIMENSIONS: ""Variable (large format)"""
180002,Ink Storm (Diagonal 01),PH4,Variable (large format),Sumi ink & wash on paper,2024-05 to 2024-08,"NON_STANDARD_DIMENSIONS: ""Variable (large format)"""
180003,Ink Storm (Mass),PH4,Variable (large format),Sumi ink & wash on paper,2024-05 to 2024-08,"NON_STANDARD_DIMENSIONS: ""Variable (large format)"""
180004,Ink Storm (Strike),PH4,Variable (large format),Sumi ink & wash on paper,2024-05 to 2024-08,"NON_STANDARD_DIMENSIONS: ""Variable (large format)"""
180005,Vietnam Horizon 01,PH4,100cm x 100cm,Sumi ink & wash on paper,2024-05 to 2024-08,"NON_STANDARD_DIMENSIONS: ""100cm x 100cm"""
180006,Ink Storm (Sweep),PH4,Variable (large format),Sumi ink & wash on paper,2024-05 to 2024-08,"NON_STANDARD_DIMENSIONS: ""Variable (large format)"""
180007,Ink Storm (Burst),PH4,Variable (large format),Sumi ink & wash on paper,2024-05 to 2024-08,"NON_STANDARD_DIMENSIONS: ""Variable (large format)"""
210001,Purple Portal (Vietnam 01),PH4,Variable (large format),Chinese and Western inks on paper,2024-07 to 2024-08,"NON_STANDARD_DIMENSIONS: ""Variable (large format)"""
210002,Wounded Portal (Magenta),PH4,Variable (large format),Chinese and Western inks on paper,2024-07 to 2024-08,"NON_STANDARD_DIMENSIONS: ""Variable (large format)"""
210003,Ink Storm (Cyan & Magenta),PH4,Variable (large format),Chinese and Western inks on paper,2024-07 to 2024-08,"NON_STANDARD_DIMENSIONS: ""Variable (large format)"""
210004,Ink Storm (Purple Flare),PH4,Variable (large format),Chinese and Western inks on paper,2024-07 to 2024-08,"NON_STANDARD_DIMENSIONS: ""Variable (large format)"""
210006,Cosmic Bloom (Multi-Ring),PH4,Variable (large format),Chinese and Western inks on paper,2024-07 to 2024-08,"NON_STANDARD_DIMENSIONS: ""Variable (large format)"""
210008,Portal (Nested Eye),PH4,Variable (large format),Chinese and Western inks on paper,2024-07 to 2024-08,"NON_STANDARD_DIMENSIONS: ""Variable (large format)"""
210010,Portal (Bleed),PH4,Variable (large format),Chinese and Western inks on paper,2024-07 to 2024-08,"NON_STANDARD_DIMENSIONS: ""Variable (large format)"""
210015,Ink Storm (Chaos),PH4,Variable (large format),Chinese and Western inks on paper,2024-07 to 2024-08,"NON_STANDARD_DIMENSIONS: ""Variable (large format)"""
210017,Cosmic Bloom (Teal),PH4,Variable (large format),Chinese and Western inks on paper,2024-07 to 2024-08,"NON_STANDARD_DIMENSIONS: ""Variable (large format)"""
210018,Horizon Portal (Split),PH4,Variable (large format),Chinese and Western inks on paper,2024-07 to 2024-08,"NON_STANDARD_DIMENSIONS: ""Variable (large format)"""
210022,I Think I Can,PH4,Variable (large format),Chinese and Western inks on paper,2024-07 to 2024-08,"NON_STANDARD_DIMENSIONS: ""Variable (large format)"""
210023,Oculus (Dilating Ring),PH4,Variable (large format),Sumi ink and wash on paper,2024-06,"NON_STANDARD_DIMENSIONS: ""Variable (large format)"""
210024,Oculus (Eclipse),PH4,Variable (large format),Sumi ink and wash on paper,2024-06,"NON_STANDARD_DIMENSIONS: ""Variable (large format)"""
210025,Oculus (Soft Focus),PH4,Variable (large format),Sumi ink and wash on paper,2024-06,"NON_STANDARD_DIMENSIONS: ""Variable (large format)"""
210026,Oculus (Concentric Pulse),PH4,Variable (large format),Sumi ink and wash on paper,2024-06,"NON_STANDARD_DIMENSIONS: ""Variable (large format)"""
210027,Oculus (Horizon Split),PH4,Variable (large format),Sumi ink and wash on paper,2024-06,"NON_STANDARD_DIMENSIONS: ""Variable (large format)"""
210028,Oculus (Heavy Mass),PH4,Variable (large format),Sumi ink and wash on paper,2024-06,"NON_STANDARD_DIMENSIONS: ""Variable (large format)"""
210029,Oculus (Interior Tooth),PH4,Variable (large format),Sumi ink and wash on paper,2024-06,"NON_STANDARD_DIMENSIONS: ""Variable (large format)"""
210030,Oculus (Wash Field),PH4,Variable (large format),Sumi ink and wash on paper,2024-06,"NON_STANDARD_DIMENSIONS: ""Variable (large format)"""
210031,Oculus (Double Ring),PH4,Variable (large format),Sumi ink and wash on paper,2024-06,"NON_STANDARD_DIMENSIONS: ""Variable (large format)"""
210032,Oculus (Void Core),PH4,Variable (large format),Sumi ink and wash on paper,2024-06,"NON_STANDARD_DIMENSIONS: ""Variable (large format)"""
210033,Oculus (Horizon Maw),PH4,Variable (large format),Sumi ink and wash on paper,2024-06,"NON_STANDARD_DIMENSIONS: ""Variable (large format)"""
210034,Oculus (Nested Eye),PH4,Variable (large format),Sumi ink and wash on paper,2024-06,"NON_STANDARD_DIMENSIONS: ""Variable (large format)"""
210035,Study (Vertebral Form),PH4,Variable (large format),Ink wash,2024,"NON_STANDARD_DIMENSIONS: ""Variable (large format)"""
210036,Residual (Heavy Mass),PH4,Variable (large format),Ink wash,2024,"NON_STANDARD_DIMENSIONS: ""Variable (large format)"""
210037,Residual (Broken Loop),PH4,Variable (large format),Ink wash,2024,"NON_STANDARD_DIMENSIONS: ""Variable (large format)"""
210038,Residual (Horizontal Mass),PH4,Variable (large format),Ink wash,2024,"NON_STANDARD_DIMENSIONS: ""Variable (large format)"""
210039,Study (Cellular Wash),PH4,Variable (large format),Ink wash,2024,"NON_STANDARD_DIMENSIONS: ""Variable (large format)"""
210040,Study (Soft Ring),PH4,Variable (large format),Ink wash,2024,"NON_STANDARD_DIMENSIONS: ""Variable (large format)"""
210041,Study (Dense Core),PH4,Variable (large format),Ink wash,2024,"NON_STANDARD_DIMENSIONS: ""Variable (large format)"""
210042,Vietnam Horizon (Bar 01),PH4,Variable (large format),Ink wash,2024,"NON_STANDARD_DIMENSIONS: ""Variable (large format)"""
210043,Vietnam Horizon (Bar 02),PH4,Variable (large format),Ink wash,2024,"NON_STANDARD_DIMENSIONS: ""Variable (large format)"""
210044,Horizon (Intersected),PH4,Variable (large format),Ink wash,2024,"NON_STANDARD_DIMENSIONS: ""Variable (large format)"""
210045,Study (Wash Fragment),PH4,Variable (large format),Ink wash,2024,"NON_STANDARD_DIMENSIONS: ""Variable (large format)"""
210046,Vietnam Horizon (Bar 03),PH4,Variable (large format),Ink wash,2024,"NON_STANDARD_DIMENSIONS: ""Variable (large format)"""
240002,Tidal,NE,300cm x 1000cm,Acrylic and spray paint on linen,2025-12,"NON_STANDARD_DIMENSIONS: ""300cm x 1000cm"""
270001,Carbon Mural,NE,600cm x 180cm,"High-flow acrylic / spray on sealed panel, backlit diffusion mount",2021-10,"NON_STANDARD_DIMENSIONS: ""600cm x 180cm"""
