ID,Title,Phase,Field,Old Value,New Value
30012,Covenant I: Storm-Body,NE,title,Covenant I: Storm-Body,Covenant I: Storm-body
30013,Covenant II: Vessel-Body,NE,dimensions,100cm x 200cm,100cm × 200cm
30013,Covenant II: Vessel-Body,NE,technique,Sumi ink on Anhui rice paper,Sumi ink on Chinese mulberry paper
30013,Covenant II: Vessel-Body,NE,title,Covenant II: Vessel-Body,Covenant Ii: Vessel-body
30014,Covenant III: Threshold-Body,NE,dimensions,100cm x 200cm,100cm × 200cm
30014,Covenant III: Threshold-Body,NE,technique,Sumi ink on Anhui rice paper,Sumi ink on Chinese mulberry paper
30014,Covenant III: Threshold-Body,NE,title,Covenant III: Threshold-Body,Covenant Iii: Threshold-body
30016,Ode to Isis,PH2A,dimensions,76cm x 56cm,76cm × 56cm
30017,Ode to Hadit,PH2A,dimensions,56×76cm vertical,56cm × 76cm
30018,Ode to Hoor-pa-kraat,PH2A,dimensions,56×76cm vertical,56cm × 76cm
30021,The Limitless Path of the Intuitive Mind II,PH2,title,The Limitless Path of the Intuitive Mind II,The Limitless Path of the Intuitive Mind Ii
30023,The Infinite Plane II,PH2,title,The Infinite Plane II,The Infinite Plane Ii
30024,Dreamcatcher,PH2,dimensions,76cm x 56cm,76cm × 56cm
30025,Aurorae Aureae,PH2,dimensions,56×76cm vertical,56cm × 76cm
30026,Inside the Vortex,PH2,dimensions,76×76cm square,76cm × 76cm
30027,Freyja,PH2,dimensions,76cm x 56cm,76cm × 56cm
30028,Freyr,PH2,dimensions,76cm x 56cm,76cm × 56cm
30029,"As Above, So Below I",PH2,dimensions,56×76cm vertical,56cm × 76cm
30030,Polaris,PH2,dimensions,56×76cm vertical,56cm × 76cm
30031,Golden Dawn,PH2,dimensions,56×76cm vertical,56cm × 76cm
30032,Vibrational Alignment,PH2,dimensions,56×76cm vertical,56cm × 76cm
30033,A Walking Bundle of Frequencies,PH2,dimensions,56×76cm vertical,56cm × 76cm
60001,Echoes,PH3,dimensions,200cm × 200cm (monumental),200cm × 200cm
60002,VALIS,PH3,technique,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,Ink on Saunders Waterford 300gsm hot press cotton rag paper
60002,VALIS,PH3,title,VALIS,Valis
60003,Electric Dreams,PH3,technique,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,Ink on Saunders Waterford 300gsm hot press cotton rag paper
60004,A Momentary Lapse of Reason,PH3,dimensions,76cm x 56cm,76cm × 56cm
60004,A Momentary Lapse of Reason,PH3,technique,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,Ink on Saunders Waterford 300gsm hot press cotton rag paper
60005,Labyrinth of Coral Caves (1),PH3,technique,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,Ink on Saunders Waterford 300gsm hot press cotton rag paper
60006,Gravity Well,PH3,technique,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,Ink on Saunders Waterford 300gsm hot press cotton rag paper
60007,Amnesia,PH3,technique,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,Ink on Saunders Waterford 300gsm hot press cotton rag paper
60008,Persistence of Time (1),PH3,technique,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,Ink on Saunders Waterford 300gsm hot press cotton rag paper
60009,Section 9,PH3,technique,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,Ink on Saunders Waterford 300gsm hot press cotton rag paper
60010,Labyrinth of Coral Caves (2),PH3,technique,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,Ink on Saunders Waterford 300gsm hot press cotton rag paper
60011,Genesis,PH3,dimensions,76cm x 56cm,76cm × 56cm
60011,Genesis,PH3,technique,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,Ink on Saunders Waterford 300gsm hot press cotton rag paper
60012,Split Second,PH3,technique,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,Ink on Saunders Waterford 300gsm hot press cotton rag paper
60013,Major Motoko,PH3,dimensions,56cm x 76cm,56cm × 76cm
60013,Major Motoko,PH3,technique,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,Ink on Saunders Waterford 300gsm hot press cotton rag paper
60014,Orbital Refraction,PH3,technique,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,Ink on Saunders Waterford 300gsm hot press cotton rag paper
60015,A Delicate Sound of Thunder,PH3,technique,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,Ink on Saunders Waterford 300gsm hot press cotton rag paper
60016,Persistence of Time (2),PH3,dimensions,21cm x 30cm,21cm × 30cm
60016,Persistence of Time (2),PH3,technique,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,Ink on Saunders Waterford 300gsm hot press cotton rag paper
60017,Persistence of Time (3),PH3,technique,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,Ink on Saunders Waterford 300gsm hot press cotton rag paper
60018,Persistence of Time (4),PH3,technique,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,Ink on Saunders Waterford 300gsm hot press cotton rag paper
90001,Cross Mandala with Gold Center,PH3A,dimensions,30cm x 40cm,30cm × 40cm
90002,Horizontal Orbital Mural (Study),PH3A,dimensions,600×150cm (large-scale mural),600cm × 150cm
90002,Horizontal Orbital Mural (Study),PH3A,technique,Acrylic and ink on wall,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper
90002,Horizontal Orbital Mural (Study),PH3A,title,Horizontal Orbital Mural (Study),Horizontal Orbital Mural (study)
90003,Yin-Yang Gold Disc,PH3A,dimensions,30cm x 40cm,30cm × 40cm
90003,Yin-Yang Gold Disc,PH3A,title,Yin-Yang Gold Disc,Yin-yang Gold Disc
90004,Vertical Cross with Gold Satellites,PH3A,dimensions,30cm x 40cm,30cm × 40cm
90005,Orbital Installation View,PH3A,dimensions,600×150cm (installation view),600cm × 150cm
90005,Orbital Installation View,PH3A,technique,Acrylic and ink on wall,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper
90006,Asymmetric Orbital Cluster,PH3A,dimensions,30cm x 40cm,30cm × 40cm
90007,Gold Crescent Orbit,PH3A,dimensions,30cm x 40cm,30cm × 40cm
90008,Vertical Axis with Gold Poles,PH3A,dimensions,30cm x 40cm,30cm × 40cm
90009,Dense Cross Mandala,PH3A,dimensions,30cm x 40cm,30cm × 40cm
90010,Spiral Galaxy S-Curve,PH3A,dimensions,30cm x 40cm,30cm × 40cm
90010,Spiral Galaxy S-Curve,PH3A,title,Spiral Galaxy S-Curve,Spiral Galaxy S-curve
120014,Absurdity of Meaning No. 1,PH1,dimensions,56 x 76cm,56cm × 76cm
120014,Absurdity of Meaning No. 1,PH1,technique,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,Ink and acrylic paint on Saunders Waterford 300gsm hot press cotton rag paper
120016,Absurdity of Meaning No. 2,PH1,dimensions,56 x 76cm,56cm × 76cm
120016,Absurdity of Meaning No. 2,PH1,technique,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,Ink and acrylic paint on Saunders Waterford 300gsm hot press cotton rag paper
120021,Absurdity of Meaning No. 3,PH1,dimensions,56 x 76cm,56cm × 76cm
120021,Absurdity of Meaning No. 3,PH1,technique,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,Ink and acrylic paint on Saunders Waterford 300gsm hot press cotton rag paper
120028,Absurdity of Meaning No. 4,PH1,dimensions,56 x 76cm,56cm × 76cm
120028,Absurdity of Meaning No. 4,PH1,technique,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,Ink and acrylic paint on Saunders Waterford 300gsm hot press cotton rag paper
120032,Absurdity of Meaning No. 5,PH1,dimensions,56 x 76cm,56cm × 76cm
120032,Absurdity of Meaning No. 5,PH1,technique,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,Ink and acrylic paint on Saunders Waterford 300gsm hot press cotton rag paper
120033,Absurdity of Meaning No. 6,PH1,dimensions,56cm x 76cm,56cm × 76cm
120033,Absurdity of Meaning No. 6,PH1,technique,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,Ink and acrylic paint on Saunders Waterford 300gsm hot press cotton rag paper
120034,Absurdity of Meaning No. 7,PH1,dimensions,56 x 76cm,56cm × 76cm
120034,Absurdity of Meaning No. 7,PH1,technique,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,Ink and acrylic paint on Saunders Waterford 300gsm hot press cotton rag paper
120035,Absurdity of Meaning No. 8,PH1,dimensions,56 x 76cm,56cm × 76cm
120035,Absurdity of Meaning No. 8,PH1,technique,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,Ink and acrylic paint on Saunders Waterford 300gsm hot press cotton rag paper
120036,Absurdity of Meaning No. 9,PH1,dimensions,56 x 76cm,56cm × 76cm
120036,Absurdity of Meaning No. 9,PH1,technique,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,Ink and acrylic paint on Saunders Waterford 300gsm hot press cotton rag paper
120037,Absurdity of Meaning No. 10,PH1,dimensions,56 x 76cm,56cm × 76cm
120037,Absurdity of Meaning No. 10,PH1,technique,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,Ink and acrylic paint on Saunders Waterford 300gsm hot press cotton rag paper
120038,Absurdity of Meaning No. 11,PH1,dimensions,76 x 56cm,76cm × 56cm
120038,Absurdity of Meaning No. 11,PH1,technique,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,Ink and acrylic paint on Saunders Waterford 300gsm hot press cotton rag paper
120039,Absurdity of Meaning No. 12,PH1,dimensions,76 x 56cm,76cm × 56cm
120039,Absurdity of Meaning No. 12,PH1,technique,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,Ink and acrylic paint on Saunders Waterford 300gsm hot press cotton rag paper
120040,Absurdity of Meaning No. 13,PH1,dimensions,76 x 56cm,76cm × 56cm
120040,Absurdity of Meaning No. 13,PH1,technique,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,Ink and acrylic paint on Saunders Waterford 300gsm hot press cotton rag paper
120041,Geometric Abstraction No. 4,PH1,dimensions,56cm x 76cm,56cm × 76cm
120041,Geometric Abstraction No. 4,PH1,technique,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,Ink and acrylic paint on Saunders Waterford 300gsm hot press cotton rag paper
120042,Geometric Abstraction No. 5,PH1,dimensions,56cm x 76cm,56cm × 76cm
120042,Geometric Abstraction No. 5,PH1,technique,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,Ink and acrylic paint on Saunders Waterford 300gsm hot press cotton rag paper
120043,Geometric Abstraction No. 6,PH1,dimensions,56cm x 76cm,56cm × 76cm
120043,Geometric Abstraction No. 6,PH1,technique,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,Ink and acrylic paint on Saunders Waterford 300gsm hot press cotton rag paper
120044,Geometric Abstraction No. 7,PH1,dimensions,56cm x 76cm,56cm × 76cm
120044,Geometric Abstraction No. 7,PH1,technique,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,Ink and acrylic paint on Saunders Waterford 300gsm hot press cotton rag paper
120045,Geometric Abstraction No. 8,PH1,dimensions,56cm x 76cm,56cm × 76cm
120045,Geometric Abstraction No. 8,PH1,technique,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,Ink and acrylic paint on Saunders Waterford 300gsm hot press cotton rag paper
120046,Geometric Abstraction No. 9,PH1,dimensions,56cm x 76cm,56cm × 76cm
120046,Geometric Abstraction No. 9,PH1,technique,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,Ink and acrylic paint on Saunders Waterford 300gsm hot press cotton rag paper
120047,Geometric Abstraction No. 10,PH1,dimensions,56cm x 76cm,56cm × 76cm
120047,Geometric Abstraction No. 10,PH1,technique,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,Ink and acrylic paint on Saunders Waterford 300gsm hot press cotton rag paper
120048,Geometric Abstraction No. 11,PH1,dimensions,56cm x 76cm,56cm × 76cm
120048,Geometric Abstraction No. 11,PH1,technique,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,Ink and acrylic paint on Saunders Waterford 300gsm hot press cotton rag paper
120049,Geometric Abstraction No. 12,PH1,dimensions,76 x 56cm,76cm × 56cm
120049,Geometric Abstraction No. 12,PH1,technique,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,Ink and acrylic paint on Saunders Waterford 300gsm hot press cotton rag paper
120051,Mathematical Meditation No. 1,PH1,dimensions,76 x 56cm,76cm × 56cm
120051,Mathematical Meditation No. 1,PH1,technique,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,Ink and acrylic paint on Saunders Waterford 300gsm hot press cotton rag paper
120053,Mathematical Meditation No. 2,PH1,dimensions,76 x 56cm,76cm × 56cm
120053,Mathematical Meditation No. 2,PH1,technique,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,Ink and acrylic paint on Saunders Waterford 300gsm hot press cotton rag paper
120055,There Lay an Invincible Summer,PH1,dimensions,120cm x 120cm,120cm × 120cm
120055,There Lay an Invincible Summer,PH1,technique,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,Ink and acrylic paint on Saunders Waterford 300gsm hot press cotton rag paper
120056,I Wonder If I Really Exist,PH1,dimensions,120cm x 160cm,120cm × 160cm
120056,I Wonder If I Really Exist,PH1,technique,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,Ink and acrylic paint on Saunders Waterford 300gsm hot press cotton rag paper
120057,Theatre of Memory,PH1,dimensions,120cm x 120cm,120cm × 120cm
120057,Theatre of Memory,PH1,technique,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,Ink and acrylic paint on Saunders Waterford 300gsm hot press cotton rag paper
150001,Constructivist Composition with Burnt Orange Bar,PH1A,dimensions,200 x 150cm,200cm × 150cm
150002,Torus No. 1 (Soho House Commission),PH1A,dimensions,150 x 100cm,150cm × 100cm
150002,Torus No. 1 (Soho House Commission),PH1A,title,Torus No. 1 (Soho House Commission),Torus No. 1 (soho House Commission)
150003,"Torus No. 2 (Soho House Commission, Copper Grounding)",PH1A,dimensions,150 x 100cm,150cm × 100cm
150003,"Torus No. 2 (Soho House Commission, Copper Grounding)",PH1A,title,"Torus No. 2 (Soho House Commission, Copper Grounding)","Torus No. 2 (soho House Commission, Copper Grounding)"
150004,Torus No. 3 (Yin-Yang Composition with Gold Plane),PH1A,dimensions,80 x 80cm,80cm × 80cm
150004,Torus No. 3 (Yin-Yang Composition with Gold Plane),PH1A,title,Torus No. 3 (Yin-Yang Composition with Gold Plane),Torus No. 3 (yin-yang Composition with Gold Plane)
150005,Torus No. 4 (Dual-Torus Chain with Gold Accent),PH1A,dimensions,100 x 100cm,100cm × 100cm
150005,Torus No. 4 (Dual-Torus Chain with Gold Accent),PH1A,title,Torus No. 4 (Dual-Torus Chain with Gold Accent),Torus No. 4 (dual-torus Chain with Gold Accent)
150006,Peninsula Hotels Installation View 1,PH1A,dimensions,200-300cm per work,200cm × 300cm
150007,Peninsula Hotels Installation View 2,PH1A,dimensions,200-300cm per work,200cm × 300cm
150008,Peninsula Hotels Installation View 3,PH1A,dimensions,200-300cm per work,200cm × 300cm
150009,Peninsula Hotels Installation View 4,PH1A,dimensions,200-300cm per work,200cm × 300cm
150010,Peninsula Hotels Installation View 5,PH1A,dimensions,200-300cm per work,200cm × 300cm
150011,Kith & Kin Mural Installation 1,PH1A,dimensions,500 x 300cm (estimated),500cm × 300cm
150012,Kith & Kin Mural Installation 2,PH1A,dimensions,500 x 300cm (estimated),500cm × 300cm
150013,Kith & Kin Mural Installation 3,PH1A,dimensions,500 x 300cm (estimated),500cm × 300cm
150014,Kith & Kin Mural Installation 4,PH1A,dimensions,500 x 300cm (estimated),500cm × 300cm
150015,JLL Corporate Installation,PH1A,dimensions,200 x 150cm,200cm × 150cm
150015,JLL Corporate Installation,PH1A,title,JLL Corporate Installation,Jll Corporate Installation
150016,NUVA Airport Installation,PH1A,dimensions,200 x 150cm,200cm × 150cm
150016,NUVA Airport Installation,PH1A,title,NUVA Airport Installation,Nuva Airport Installation
150017,Airport Restaurant Installation,PH1A,dimensions,200 x 150cm,200cm × 150cm
150018,Shenzhen Hotel Installation 1,PH1A,dimensions,200 x 150cm,200cm × 150cm
150019,Shenzhen Hotel Installation 2,PH1A,dimensions,200 x 150cm,200cm × 150cm
150020,Justin Tan Private Commission,PH1A,dimensions,100 x 80cm,100cm × 80cm
180001,Ink Storm (Ascension),PH4,dimensions,Variable (large format),Variable dimensions
180001,Ink Storm (Ascension),PH4,technique,Sumi ink & wash on paper,Inks on Anhui rice paper
180001,Ink Storm (Ascension),PH4,title,Ink Storm (Ascension),Ink Storm (ascension)
180002,Ink Storm (Diagonal 01),PH4,dimensions,Variable (large format),Variable dimensions
180002,Ink Storm (Diagonal 01),PH4,technique,Sumi ink & wash on paper,Inks on Anhui rice paper
180002,Ink Storm (Diagonal 01),PH4,title,Ink Storm (Diagonal 01),Ink Storm (diagonal 01)
180003,Ink Storm (Mass),PH4,dimensions,Variable (large format),Variable dimensions
180003,Ink Storm (Mass),PH4,technique,Sumi ink & wash on paper,Inks on Anhui rice paper
180003,Ink Storm (Mass),PH4,title,Ink Storm (Mass),Ink Storm (mass)
180004,Ink Storm (Strike),PH4,dimensions,Variable (large format),Variable dimensions
180004,Ink Storm (Strike),PH4,technique,Sumi ink & wash on paper,Inks on Anhui rice paper
180004,Ink Storm (Strike),PH4,title,Ink Storm (Strike),Ink Storm (strike)
180005,Vietnam Horizon 01,PH4,dimensions,100cm x 100cm,100cm × 100cm
180005,Vietnam Horizon 01,PH4,technique,Sumi ink & wash on paper,Inks on Anhui rice paper
180006,Ink Storm (Sweep),PH4,dimensions,Variable (large format),Variable dimensions
180006,Ink Storm (Sweep),PH4,technique,Sumi ink & wash on paper,Inks on Anhui rice paper
180006,Ink Storm (Sweep),PH4,title,Ink Storm (Sweep),Ink Storm (sweep)
180007,Ink Storm (Burst),PH4,dimensions,Variable (large format),Variable dimensions
180007,Ink Storm (Burst),PH4,technique,Sumi ink & wash on paper,Inks on Anhui rice paper
180007,Ink Storm (Burst),PH4,title,Ink Storm (Burst),Ink Storm (burst)
210001,Purple Portal (Vietnam 01),PH4,dimensions,Variable (large format),Variable dimensions
210001,Purple Portal (Vietnam 01),PH4,technique,Chinese and Western inks on paper,Inks on Anhui rice paper
210001,Purple Portal (Vietnam 01),PH4,title,Purple Portal (Vietnam 01),Purple Portal (vietnam 01)
210002,Wounded Portal (Magenta),PH4,dimensions,Variable (large format),Variable dimensions
210002,Wounded Portal (Magenta),PH4,technique,Chinese and Western inks on paper,Inks on Anhui rice paper
210002,Wounded Portal (Magenta),PH4,title,Wounded Portal (Magenta),Wounded Portal (magenta)
210003,Ink Storm (Cyan & Magenta),PH4,dimensions,Variable (large format),Variable dimensions
210003,Ink Storm (Cyan & Magenta),PH4,technique,Chinese and Western inks on paper,Inks on Anhui rice paper
210003,Ink Storm (Cyan & Magenta),PH4,title,Ink Storm (Cyan & Magenta),Ink Storm (cyan & Magenta)
210004,Ink Storm (Purple Flare),PH4,dimensions,Variable (large format),Variable dimensions
210004,Ink Storm (Purple Flare),PH4,technique,Chinese and Western inks on paper,Inks on Anhui rice paper
210004,Ink Storm (Purple Flare),PH4,title,Ink Storm (Purple Flare),Ink Storm (purple Flare)
210006,Cosmic Bloom (Multi-Ring),PH4,dimensions,Variable (large format),Variable dimensions
210006,Cosmic Bloom (Multi-Ring),PH4,technique,Chinese and Western inks on paper,Inks on Anhui rice paper
210006,Cosmic Bloom (Multi-Ring),PH4,title,Cosmic Bloom (Multi-Ring),Cosmic Bloom (multi-ring)
210008,Portal (Nested Eye),PH4,dimensions,Variable (large format),Variable dimensions
210008,Portal (Nested Eye),PH4,technique,Chinese and Western inks on paper,Inks on Anhui rice paper
210008,Portal (Nested Eye),PH4,title,Portal (Nested Eye),Portal (nested Eye)
210010,Portal (Bleed),PH4,dimensions,Variable (large format),Variable dimensions
210010,Portal (Bleed),PH4,technique,Chinese and Western inks on paper,Inks on Anhui rice paper
210010,Portal (Bleed),PH4,title,Portal (Bleed),Portal (bleed)
210015,Ink Storm (Chaos),PH4,dimensions,Variable (large format),Variable dimensions
210015,Ink Storm (Chaos),PH4,technique,Chinese and Western inks on paper,Inks on Anhui rice paper
210015,Ink Storm (Chaos),PH4,title,Ink Storm (Chaos),Ink Storm (chaos)
210017,Cosmic Bloom (Teal),PH4,dimensions,Variable (large format),Variable dimensions
210017,Cosmic Bloom (Teal),PH4,technique,Chinese and Western inks on paper,Inks on Anhui rice paper
210017,Cosmic Bloom (Teal),PH4,title,Cosmic Bloom (Teal),Cosmic Bloom (teal)
210018,Horizon Portal (Split),PH4,dimensions,Variable (large format),Variable dimensions
210018,Horizon Portal (Split),PH4,technique,Chinese and Western inks on paper,Inks on Anhui rice paper
210018,Horizon Portal (Split),PH4,title,Horizon Portal (Split),Horizon Portal (split)
210022,I Think I Can,PH4,dimensions,Variable (large format),Variable dimensions
210022,I Think I Can,PH4,technique,Chinese and Western inks on paper,Inks on Anhui rice paper
210023,Oculus (Dilating Ring),PH4,dimensions,Variable (large format),Variable dimensions
210023,Oculus (Dilating Ring),PH4,technique,Sumi ink and wash on paper,Inks on Anhui rice paper
210023,Oculus (Dilating Ring),PH4,title,Oculus (Dilating Ring),Oculus (dilating Ring)
210024,Oculus (Eclipse),PH4,dimensions,Variable (large format),Variable dimensions
210024,Oculus (Eclipse),PH4,technique,Sumi ink and wash on paper,Inks on Anhui rice paper
210024,Oculus (Eclipse),PH4,title,Oculus (Eclipse),Oculus (eclipse)
210025,Oculus (Soft Focus),PH4,dimensions,Variable (large format),Variable dimensions
210025,Oculus (Soft Focus),PH4,technique,Sumi ink and wash on paper,Inks on Anhui rice paper
210025,Oculus (Soft Focus),PH4,title,Oculus (Soft Focus),Oculus (soft Focus)
210026,Oculus (Concentric Pulse),PH4,dimensions,Variable (large format),Variable dimensions
210026,Oculus (Concentric Pulse),PH4,technique,Sumi ink and wash on paper,Inks on Anhui rice paper
210026,Oculus (Concentric Pulse),PH4,title,Oculus (Concentric Pulse),Oculus (concentric Pulse)
210027,Oculus (Horizon Split),PH4,dimensions,Variable (large format),Variable dimensions
210027,Oculus (Horizon Split),PH4,technique,Sumi ink and wash on paper,Inks on Anhui rice paper
210027,Oculus (Horizon Split),PH4,title,Oculus (Horizon Split),Oculus (horizon Split)
210028,Oculus (Heavy Mass),PH4,dimensions,Variable (large format),Variable dimensions
210028,Oculus (Heavy Mass),PH4,technique,Sumi ink and wash on paper,Inks on Anhui rice paper
210028,Oculus (Heavy Mass),PH4,title,Oculus (Heavy Mass),Oculus (heavy Mass)
210029,Oculus (Interior Tooth),PH4,dimensions,Variable (large format),Variable dimensions
210029,Oculus (Interior Tooth),PH4,technique,Sumi ink and wash on paper,Inks on Anhui rice paper
210029,Oculus (Interior Tooth),PH4,title,Oculus (Interior Tooth),Oculus (interior Tooth)
210030,Oculus (Wash Field),PH4,dimensions,Variable (large format),Variable dimensions
210030,Oculus (Wash Field),PH4,technique,Sumi ink and wash on paper,Inks on Anhui rice paper
210030,Oculus (Wash Field),PH4,title,Oculus (Wash Field),Oculus (wash Field)
210031,Oculus (Double Ring),PH4,dimensions,Variable (large format),Variable dimensions
210031,Oculus (Double Ring),PH4,technique,Sumi ink and wash on paper,Inks on Anhui rice paper
210031,Oculus (Double Ring),PH4,title,Oculus (Double Ring),Oculus (double Ring)
210032,Oculus (Void Core),PH4,dimensions,Variable (large format),Variable dimensions
210032,Oculus (Void Core),PH4,technique,Sumi ink and wash on paper,Inks on Anhui rice paper
210032,Oculus (Void Core),PH4,title,Oculus (Void Core),Oculus (void Core)
210033,Oculus (Horizon Maw),PH4,dimensions,Variable (large format),Variable dimensions
210033,Oculus (Horizon Maw),PH4,technique,Sumi ink and wash on paper,Inks on Anhui rice paper
210033,Oculus (Horizon Maw),PH4,title,Oculus (Horizon Maw),Oculus (horizon Maw)
210034,Oculus (Nested Eye),PH4,dimensions,Variable (large format),Variable dimensions
210034,Oculus (Nested Eye),PH4,technique,Sumi ink and wash on paper,Inks on Anhui rice paper
210034,Oculus (Nested Eye),PH4,title,Oculus (Nested Eye),Oculus (nested Eye)
210035,Study (Vertebral Form),PH4,dimensions,Variable (large format),Variable dimensions
210035,Study (Vertebral Form),PH4,technique,Ink wash,Inks on Anhui rice paper
210035,Study (Vertebral Form),PH4,title,Study (Vertebral Form),Study (vertebral Form)
210036,Residual (Heavy Mass),PH4,dimensions,Variable (large format),Variable dimensions
210036,Residual (Heavy Mass),PH4,technique,Ink wash,Inks on Anhui rice paper
210036,Residual (Heavy Mass),PH4,title,Residual (Heavy Mass),Residual (heavy Mass)
