id,title,dateCreated,dimensions,technique,colorPalette,emotionalRegister,seriesName,phaseCode,phaseName,phaseYear,imageUrl,thumbnailUrl,isFeatured,sortOrder,journalExcerpt,neonReading
120044,Geometric Abstraction No. 7,2018,56cm x 76cm,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,"Black, White",sustained precision,Absurdity of Meaning,PH1,Absurdity of Meaning,2018,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/ph1/1766825325436-peteryuill_geometricabstraction_7_1_.jpg,,0,17,The discipline continues. Hours of hand-drawn lines accumulate into form.,"The accumulation. Each work represents hours of meditative labor. The form emerges from the discipline, not despite it."
120043,Geometric Abstraction No. 6,2018,56cm x 76cm,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,"Black, White",topological fold,Absurdity of Meaning,PH1,Absurdity of Meaning,2018,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/ph1/1766825321119-peteryuill_geometricabstraction_6_1_.jpg,,0,16,"A folded torus, revealing the ""saddle"" geometry. The lines cross and weave, creating a fabric of ink.",The fabric of logic. The complexity of the fold demonstrates the artist's technical mastery of the hand-drawn algorithm. It is a map of a thought turning back on itself.
120042,Geometric Abstraction No. 5,2018,56cm x 76cm,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,"Black, White",expanding complexity,Absurdity of Meaning,PH1,Absurdity of Meaning,2018,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/ph1/1766825297824-peteryuill_geometricabstraction_5_1_.jpg,,0,15,"The forms grow more complex. Each line is a decision, each curve a commitment.","The commitment. The density of lines demonstrates the ""no-undo"" discipline. Each stroke is permanent, each decision irreversible."
120041,Geometric Abstraction No. 4,2018,56cm x 76cm,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,"Black, White",pure form,Absurdity of Meaning,PH1,Absurdity of Meaning,2018,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/ph1/1766825271128-peteryuill_geometricabstraction_4_1_.jpg,,0,14,"The geometry without the conflict. Pure form, pure line, pure meditation.","The meditation. Without the black bars, the torus exists in a state of pure potential. It is geometry before the fall."
120021,Absurdity of Meaning No. 3,2018-03,56 x 76cm,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,"Black, White",existential tension,Absurdity of Meaning,PH1,Absurdity of Meaning,2018,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/ph1/1766825106028-peteryuill_absurdityofmeaning3_1_.jpg,,0,3,The circle strives for wholeness; the bar interrupts it. This is the core dialectic of the phase. I build the illusion of volume only to shatter it with the flat reality of the black bar.,"The primary conflict. The torus represents the infinite loop of consciousness seeking meaning. The black bar is the ""Absurd""—the hard limit of the universe's indifference. The geometry tries to flow around the obstacle, but the interruption is absolute."
120039,Absurdity of Meaning No. 12,2018-03,76 x 56cm,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,"Black, White",dual eclipse,Absurdity of Meaning,PH1,Absurdity of Meaning,2018,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/ph1/1766825247073-peteryuill_absurdityofmeaning12.jpg,,0,12,Variation on the sphere/torus interaction. The relationship feels celestial—an eclipse of meaning.,The eclipse. The interaction between the solid black form and the torus's central void suggests an alignment of shadows. It is a portrait of absence meeting absence.
120032,Absurdity of Meaning No. 5,2018-03,56 x 76cm,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,"Black, White",complex interruption,Absurdity of Meaning,PH1,Absurdity of Meaning,2018,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/ph1/1766825148901-peteryuill_absurdityofmeaning5_1_.jpg,,0,5,"A complex knot, folded in on itself, interrupted by a horizontal bar. The thought process is denser here, but the censor is still present.","The censor. The horizontal bar sits like a redaction over the complex knot. It suggests that no matter how intricate the reasoning (the geometry), the silence of the universe (the bar) remains the final word."
120016,Absurdity of Meaning No. 2,2018-03,56 x 76cm,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,"Black, White",developing conflict,Absurdity of Meaning,PH1,Absurdity of Meaning,2018,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/ph1/1766825100649-peteryuill_absurdityofmeaning2.jpg,,0,2,The dialogue continues. The geometry grows more complex as the conflict deepens.,"The second iteration. The torus begins to fold and twist, suggesting the complexity of the existential question."
120014,Absurdity of Meaning No. 1,2018-03,56 x 76cm,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,"Black, White",foundational tension,Absurdity of Meaning,PH1,Absurdity of Meaning,2018,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/ph1/1766825091966-peteryuill_absurdityofmeaning1.jpg,,0,1,The first work of the series. The beginning of the dialogue between form and void.,"The origin point. This work establishes the visual vocabulary that will define the entire phase: the torus as consciousness, the black element as the Absurd."
120035,Absurdity of Meaning No. 8,2018-03,56 x 76cm,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,"Black, White",asymmetrical cut,Absurdity of Meaning,PH1,Absurdity of Meaning,2018,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/ph1/1766825178772-peteryuill_absurdityofmeaning8.jpg,,0,8,"Variation on the interruption. The placement of the bar feels random, arbitrary. It strikes where it chooses.","The arbitrary limit. In this iteration, the interruption feels less structural and more accidental—emphasizing the Camusian view that the universe's silence is not malicious, just indifferent."
120036,Absurdity of Meaning No. 9,2018-03,56 x 76cm,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,"Black, White",approaching resolution,Absurdity of Meaning,PH1,Absurdity of Meaning,2018,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/ph1/1766825207823-peteryuill_absurdityofmeaning9.jpg,,0,9,"The forms begin to stabilize. Not resolution, but acceptance.","The approach. As the series nears its end, the forms become more stable, suggesting not that the question is answered, but that the artist has learned to hold it without breaking."
120037,Absurdity of Meaning No. 10,2018-03,56 x 76cm,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,"Black, White",sustained tension,Absurdity of Meaning,PH1,Absurdity of Meaning,2018,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/ph1/1766825239047-peteryuill_absurdityofmeaning10.jpg,,0,10,The tenth iteration. The dialogue continues without resolution.,"The continuation. Ten works in, the series demonstrates that the existential question is not meant to be answered but inhabited."
120038,Absurdity of Meaning No. 11,2018-03,76 x 56cm,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,"Black, White",heavy oppression,Absurdity of Meaning,PH1,Absurdity of Meaning,2018,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/ph1/1766825242802-peteryuill_absurdityofmeaning11.jpg,,0,11,A massive black sphere rests atop a delicate torus. The visual weight is crushing. Gravity as an existential metaphor.,"The weight of the void. Unlike the bars which ""cut,"" this sphere ""crushes."" It is the heavy, mute presence of the Absurd pressing down on the delicate structure of human logic."
120028,Absurdity of Meaning No. 4,2018-03,56 x 76cm,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,"Black, White",deepening inquiry,Absurdity of Meaning,PH1,Absurdity of Meaning,2018,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/ph1/1766825126989-peteryuill_absurdityofmeaning4_1_.jpg,,0,4,The forms multiply. Each iteration asks the same question from a different angle.,"The multiplication. Multiple torus forms begin to interact, suggesting that the existential question is not singular but fractal—each answer spawns new questions."
120040,Absurdity of Meaning No. 13,2018-03,76 x 56cm,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,"Black, White",culminating statement,Absurdity of Meaning,PH1,Absurdity of Meaning,2018,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/ph1/1766825250756-peteryuill_absurdityofmeaning13_1_.jpg,,0,13,"The final work of the core series. Not an ending, but a threshold.","The threshold. The thirteenth work marks the completion of the initial cycle. The question remains open, but the vocabulary has been established."
120033,Absurdity of Meaning No. 6,2018-03,56cm x 76cm,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,"Black, White",infinite loop,Absurdity of Meaning,PH1,Absurdity of Meaning,2018,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/ph1/1766825169192-peteryuill_absurdityofmeaning6.jpg,,0,6,The figure-eight torus. A continuous surface with no inside or outside. Hand-drawn micro-lines create a moiré field that vibrates.,"The breathing loop. This work captures the ""moiré breath""—the optical illusion that makes the static image appear to pulse. It represents the self-sustaining nature of the existential question: it feeds on itself endlessly."
120034,Absurdity of Meaning No. 7,2018-03,56 x 76cm,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,"Black, White",sustained inquiry,Absurdity of Meaning,PH1,Absurdity of Meaning,2018,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/ph1/1766825173449-peteryuill_absurdityofmeaning7.jpg,,0,7,The series continues. Each work is a meditation on the same impossible question.,"The persistence. By the seventh iteration, the artist has established a rhythm of inquiry. The question does not resolve; it deepens."
150001,Constructivist Composition with Burnt Orange Bar,2018-06,200 x 150cm,Ink and acrylic on canvas,"Black, White, Burnt Orange",dynamic tension,Institutional Commissions,PH1A,Institutional Geometry,2018-2019,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/ph1a/sp_peteryuill_com.jpg,,0,1,"The burnt orange bar was a site-specific adaptation — the client wanted warmth to match the interior. I drew from Constructivist precedents, allowing the bars to collide at angles rather than remain rectilinear.","The first warm color in the practice. The burnt orange is not spiritual gold or grounding copper — it is architectural color, suggesting the artist is adapting the palette to match corporate or hospitality interiors. The Constructivist arrangement references Russian avant-garde — geometry as revolutionary architecture."
150002,Torus No. 1 (Soho House Commission),2018-08,150 x 100cm,"Ink, gold leaf, and copper leaf on mounted paper","Black, White, Gold, Copper",alchemical duality,Institutional Commissions,PH1A,Institutional Geometry,2018-2019,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/ph1a/torus_1_soho_house_peteryuill.jpg,,0,2,"The gold and copper bars side by side — this was the first time I explicitly coded the binary. Gold (solar, spiritual, transcendent) and copper (earthly, grounding, embodied). The torus moves between them as a continuous current.","This is the gold-copper binary crystallized for the first time. The two metallic bars function as energetic poles — gold (solar, spiritual, transcendent) and copper (earthly, grounding, embodied). The torus moves between them as a continuous current. This is not decoration — it is alchemical coding."
150003,"Torus No. 2 (Soho House Commission, Copper Grounding)",2018-09,150 x 100cm,Ink and copper leaf on mounted paper,"Black, White, Copper",grounded foundation,Institutional Commissions,PH1A,Institutional Geometry,2018-2019,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/ph1a/torus_2_soho_house-peteryuill.jpg,,0,3,"The copper plane covering the lower third — this was about grounding. The torus (eternal, celestial) rests on copper (earthly, temporal). Transcendence requires a foundation. You cannot ascend without being rooted.",This work inverts the typical hierarchy of spiritual abstraction. The copper is the floor upon which the torus stands. It suggests that transcendence requires grounding. You cannot ascend without a foundation. Commissioned for Soho House alongside Torus No. 1 — the two works function as a binary pair.
150004,Torus No. 3 (Yin-Yang Composition with Gold Plane),2018-11,80 x 80cm,Ink and gold leaf on paper,"Black, White, Gold",cosmological balance,Institutional Commissions,PH1A,Institutional Geometry,2018-2019,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/ph1a/torus_3_peteryuill_1.jpg,,0,4,The figure-eight torus with a gold plane covering half the composition — this was my attempt to visualize the Taoist yin-yang principle through Western geometric abstraction. Opposites interpenetrate.,"Sacred geometry meets East Asian cosmology. The figure-eight torus represents infinite recursion (Ouroboros, eternal return), while the gold plane represents divine illumination. The composition literalizes the Taoist principle: opposites interpenetrate. The gold is not covering the geometry — it is completing it."
150020,Justin Tan Private Commission,2018-12,100 x 80cm,Ink and gold leaf on paper,"Black, White, Gold",private contemplation,Institutional Commissions,PH1A,Institutional Geometry,2018-2019,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/ph1a/Justin_tan_2018.jpg,,0,20,"A private commission for a collector. The work had to function in a domestic context — a home, not a gallery or hotel. The geometry becomes intimate, personal, a daily presence.","The geometry enters private domestic space. The work functions as daily contemplative presence for a collector, proving the practice can scale from monumental institutional installations to intimate personal commissions."
150005,Torus No. 4 (Dual-Torus Chain with Gold Accent),2019-01,100 x 100cm,Ink and gold leaf on paper,"Black, White, Gold",systemic flow,Institutional Commissions,PH1A,Institutional Geometry,2018-2019,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/ph1a/torus_4_peteryuill.jpg,,0,5,"Two interlocking tori, linked in a continuous chain. The gold bar marks a specific point in the flow — a caesura, a threshold. This was when I started thinking about geometry as network, not just isolated form.","This work introduces multiplicity. Where earlier PH1 works featured singular circles or tori, this work shows a system — multiple forms interacting, flowing into one another. The gold bar doesn't shatter the system; it marks it, highlighting a specific point in the flow. This suggests a shift from existential rupture (PH1) toward systemic thinking (PH1A)."
150008,Peninsula Hotels Installation View 3,2019-03,200-300cm per work,"Ink, gold, and copper on mounted paper (large-scale)","Black, White, Gold, Copper",institutional presence,Institutional Commissions,PH1A,Institutional Geometry,2018-2019,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/ph1a/Peninsula_hotel_3.jpg,,0,8,"The natural light from the windows changes how the gold and copper read throughout the day. The works are temporally alive — they look different at dawn, noon, dusk.","Phenomenological installation. The works function at multiple scales: close-up (hand-drawn micro-lines visible), mid-range (composition reads as whole), far view (work functions as architectural element, balancing the space)."
150007,Peninsula Hotels Installation View 2,2019-03,200-300cm per work,"Ink, gold, and copper on mounted paper (large-scale)","Black, White, Gold, Copper",institutional presence,Institutional Commissions,PH1A,Institutional Geometry,2018-2019,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/ph1a/Peninsula_hotel_2.jpg,,0,7,"Same installation, different angle. The exposed ductwork and industrial ceiling contrast with the precision of the geometry. The work absorbs the architectural context without being diminished by it.","Installation documentation showing the works in situ. The moiré patterns created by dense micro-lines change as the viewer moves. The works appear to breathe, pulse, rotate. This is time-based abstraction — the work unfolds over duration, not in a single glance."
150006,Peninsula Hotels Installation View 1,2019-03,200-300cm per work,"Ink, gold, and copper on mounted paper (large-scale)","Black, White, Gold, Copper",institutional presence,Institutional Commissions,PH1A,Institutional Geometry,2018-2019,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/ph1a/Peninsula_hotel_1.jpg,,0,6,"Installed at Peninsula Hotels. The works function as threshold markers — elevator lobbies, suite entrances. They had to hold their ground in high-traffic, brightly-lit spaces. The geometry becomes ambient presence, not demanding attention but offering depth to those who pause.",The institutional test. The geometry is no longer private studio work — it is public architecture. The works function as ambient presence in spaces designed for commercial hospitality. Thousands of people walk past them — most will not stop to contemplate. But the works do not need to be understood to be real. Their presence is the point.
150009,Peninsula Hotels Installation View 4,2019-03,200-300cm per work,"Ink, gold, and copper on mounted paper (large-scale)","Black, White, Gold, Copper",institutional presence,Institutional Commissions,PH1A,Institutional Geometry,2018-2019,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/ph1a/Peninsula_hotel_4.jpg,,0,9,Close-up view showing the density of the hand-drawn lines. Each work required 40–80 hours of labor. The no-undo constraint creates psychological presence — each line carries weight.,"Close-up installation view. The hand-drawn constraint remains even at monumental scale. The precision is extreme, but the human touch is visible — slight variations in line weight, subtle misalignments. This tension between aspiration (mathematical perfection) and reality (human fallibility) is central to the work."
150010,Peninsula Hotels Installation View 5,2019-03,200-300cm per work,"Ink, gold, and copper on mounted paper (large-scale)","Black, White, Gold, Copper",institutional presence,Institutional Commissions,PH1A,Institutional Geometry,2018-2019,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/ph1a/Peninsula_hotel_5.jpg,,0,10,"The Eames chairs and wooden table create a mid-century modern aesthetic. The geometry complements that — it is rigorous, disciplined, functional, but also spiritually resonant.","Installation documentation showing the works integrated with modern furniture and architecture. The works do not compete with the space — they enhance it, providing depth and contemplative presence."
150011,Kith & Kin Mural Installation 1,2019-04,500 x 300cm (estimated),Acrylic and ink on wall (large-scale mural),"Black, White",architectural integration,Institutional Commissions,PH1A,Institutional Geometry,2018-2019,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/ph1a/Keith&kin_mural1_2019.jpg,,0,11,"The Kith & Kin commission required the geometry to work at monumental scale on a wall. The circular forms had to hold their ground against the architecture, becoming part of the building's visual language.","The geometry scales to architectural dimensions. The black-and-white vocabulary proves it can function as permanent architectural element, not just portable canvas work. The mural integrates with the building's structure, creating a dialogue between geometric abstraction and architectural space."
150012,Kith & Kin Mural Installation 2,2019-04,500 x 300cm (estimated),Acrylic and ink on wall (large-scale mural),"Black, White",architectural integration,Institutional Commissions,PH1A,Institutional Geometry,2018-2019,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/ph1a/Keith&kin_mural2_2019.jpg,,0,12,"Different angle showing how the mural interacts with the lighting and spatial context. The geometry creates depth on a flat wall, suggesting dimensionality where there is none.","The mural creates optical depth through dense line-work. The moiré patterns shift as viewers move through the space, creating a time-based experience within a static medium."
150013,Kith & Kin Mural Installation 3,2019-04,500 x 300cm (estimated),Acrylic and ink on wall (large-scale mural),"Black, White",architectural integration,Institutional Commissions,PH1A,Institutional Geometry,2018-2019,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/ph1a/Keith&kin_mural3_2019.jpg,,0,13,"The full view showing the mural in its architectural context. The circular forms create a focal point in the space, drawing the eye and anchoring the room's visual hierarchy.","Full installation view demonstrating how the geometry functions as architectural anchor. The work creates a center of gravity in the space, organizing the visual field around its circular forms."
150014,Kith & Kin Mural Installation 4,2019-04,500 x 300cm (estimated),Acrylic and ink on wall (large-scale mural),"Black, White",architectural integration,Institutional Commissions,PH1A,Institutional Geometry,2018-2019,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/ph1a/Kith&kin_mural4_2019.jpg,,0,14,"Detail view showing the precision of the hand-painted lines at monumental scale. The no-undo constraint applies even to wall murals — each line is permanent, irreversible.",Detail documentation showing the hand-painted precision maintained at architectural scale. The commitment to the no-undo constraint creates psychological weight — the artist's discipline is visible in every line.
150015,JLL Corporate Installation,2019-05,200 x 150cm,Ink on mounted paper (large-scale),"Black, White",corporate contemplation,Institutional Commissions,PH1A,Institutional Geometry,2018-2019,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/ph1a/JLL_2019.jpg,,0,15,"The JLL commission tested whether existential abstraction could survive in a corporate real estate context. The geometry had to function in a space of commerce and transaction, not contemplation.","The philosophy survives commerce. Existential abstraction holds ground in corporate contexts, proving the work can function in spaces designed for business rather than art. The geometry provides contemplative depth in an environment typically devoid of spiritual resonance."
150016,NUVA Airport Installation,2019-06,200 x 150cm,Ink on mounted paper (large-scale),"Black, White",threshold presence,Institutional Commissions,PH1A,Institutional Geometry,2018-2019,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/ph1a/Nuva-airport_2019.jpg,,0,16,The NUVA commission placed the work in a luxury brand space near the airport. The geometry had to function as threshold marker — signaling transition from public transit to private luxury.,"The work functions as portal marker in a threshold space. The geometry signals transition from public to private, from transit to arrival. The circular forms create a moment of pause in a space designed for movement."
150017,Airport Restaurant Installation,2019-06,200 x 150cm,Ink on mounted paper (large-scale),"Black, White",ambient presence,Institutional Commissions,PH1A,Institutional Geometry,2018-2019,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/ph1a/Airport_restaurnt_2019.jpg,,0,17,"Installed in an airport restaurant. The work had to function in a space of transience — people eating quickly before flights, distracted, anxious. The geometry offers a moment of stillness.","The geometry provides contemplative presence in a space of transience. The work offers stillness to travelers in motion, depth to those who pause between journeys. It does not demand attention — it offers it to those who look."
150018,Shenzhen Hotel Installation 1,2019-07,200 x 150cm,Ink on mounted paper (large-scale),"Black, White",cross-border presence,Institutional Commissions,PH1A,Institutional Geometry,2018-2019,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/ph1a/Shenzen_hotel1_2019.jpg,,0,18,"The Shenzhen commission marked the first time the work crossed into mainland China. The geometry had to function in a different cultural context — still Hong Kong-adjacent, but distinctly mainland.","The practice crosses the border. The geometry proves it can function in mainland Chinese institutional contexts, not just Hong Kong. The work maintains its conceptual integrity while adapting to a new cultural environment."
